Bones (8):
[0] (Tors): parent index: -1
[120]: (0, 0, 0, 0)
[121]: (0, 0, 0, 0)
[122]: (0, 0, 0, 0)
[123]: (0, 0, 0, 0)
[124]: (0, 0, 0, 0)
[125]: (0, 0, 0, 0)
[126]: (0, 0, 0, 0)
[127]: (0, 0, 0, 0)
[128]: (0, 0, 0, 0)
[129]: (0, 0, 0, 0)
[130]: (0, 0, 0, 0)
[131]: (0, 0, 0, 0)
[132]: (0, 0, 0, 0)
[133]: (0, 0, 0, 0)
[134]: (0, 0, 0, 0)
[135]: (0, 0, 0, 0)
[136]: (0, 0, 0, 0)
[137]: (0, 0, 0, 0)
[138]: (0, 0, 0, 0)
[139]: (0, 0, 0, 0)
[140]: (0, 0, 0, 0)
[141]: (0, 0, 0, 0)
[142]: (0, 0, 0, 0)
[143]: (0, 0, 0, 0)
[144]: (0, 0, 0, 0)
[145]: (0, 0, 0, 0)
[146]: (0, 0, 0, 0)
[147]: (0, 0, 0, 0)
[148]: (0, 0, 0, 0)
[149]: (0, 0, 0, 0)
[150]: (0, 0, 0, 0)
[151]: (0, 0, 0, 0)
[152]: (0, 0, 0, 0)
[153]: (0, 0, 0, 0)
[154]: (0, 0, 0, 0)
[155]: (0, 0, 0, 0)
[156]: (0, 0, 0, 0)
[157]: (0, 0, 0, 0)
[158]: (0, 0, 0, 0)
[159]: (0, 0, 0, 0)
[160]: (0, 0, 0, 0)
[161]: (0, 0, 0, 0)
[162]: (0, 0, 0, 0)
[163]: (0, 0, 0, 0)
[164]: (0, 0, 0, 0)
[165]: (0, 0, 0, 0)
[166]: (0, 0, 0, 0)
[167]: (0, 0, 0, 0)
[168]: (0, 0, 0, 0)
[169]: (0, 0, 0, 0)
[170]: (0, 0, 0, 0)
[171]: (0, 0, 0, 0)
[172]: (0, 0, 0, 0)
[173]: (0, 0, 0, 0)
[174]: (0, 0, 0, 0)
[175]: (0, 0, 0, 0)
[176]: (0, 0, 0, 0)
[177]: (0, 0, 0, 0)
[178]: (0, 0, 0, 0)
[179]: (0, 0, 0, 0)
[180]: (0, 0, 0, 0)
[181]: (0, 0, 0, 0)
[182]: (0, 0, 0, 0)
[183]: (0, 0, 0, 0)
[184]: (0, 0, 0, 0)
[185]: (0, 0, 0, 0)
[186]: (0, 0, 0, 0)
[187]: (0, 0, 0, 0)
[188]: (0, 0, 0, 0)
[189]: (0, 0, 0, 0)
[190]: (0, 0, 0, 0)
[191]: (0, 0, 0, 0)
[192]: (0, 1, 0, 0)
[193]: (0, 1, 0, 0)
[194]: (0, 1, 0, 0)
[195]: (0, 1, 0, 0)
[196]: (0, 1, 0, 0)
[197]: (0, 1, 0, 0)
[198]: (0, 1, 0, 0)
[199]: (0, 0, 0, 0)
[200]: (0, 0, 0, 0)
[201]: (0, 0, 0, 0)
[202]: (0, 1, 0, 0)
[203]: (0, 1, 0, 0)
[204]: (0, 0, 0, 0)
[205]: (0, 1, 0, 0)
[206]: (0, 1, 0, 0)
[207]: (0, 0, 0, 0)
[208]: (0, 1, 0, 0)
[209]: (0, 1, 0, 0)
[210]: (0, 0, 0, 0)
[211]: (0, 0, 0, 0)
[212]: (0, 1, 0, 0)
[213]: (0, 0, 0, 0)
[214]: (0, 1, 0, 0)
[215]: (0, 0, 0, 0)
[216]: (0, 3, 0, 0)
[217]: (0, 3, 0, 0)
[218]: (0, 3, 0, 0)
[219]: (0, 3, 0, 0)
[220]: (0, 3, 0, 0)
[221]: (0, 3, 0, 0)
[222]: (0, 0, 0, 0)
[223]: (0, 3, 0, 0)
[224]: (0, 3, 0, 0)
[225]: (0, 3, 0, 0)
[226]: (0, 0, 0, 0)
[227]: (0, 3, 0, 0)
[228]: (0, 3, 0, 0)
[229]: (0, 0, 0, 0)
[230]: (0, 0, 0, 0)
[231]: (0, 3, 0, 0)
[232]: (0, 0, 0, 0)
[233]: (0, 3, 0, 0)
[234]: (0, 0, 0, 0)
[235]: (0, 3, 0, 0)
[236]: (0, 0, 0, 0)
[237]: (0, 3, 0, 0)
[238]: (0, 0, 0, 0)
[239]: (0, 0, 0, 0)
[240]: (0, 0, 0, 0)
[241]: (0, 0, 0, 0)
[242]: (0, 0, 0, 0)
[243]: (0, 0, 0, 0)
[244]: (0, 0, 0, 0)
[245]: (0, 0, 0, 0)
[246]: (0, 0, 0, 0)
[247]: (0, 0, 0, 0)
[248]: (0, 0, 0, 0)
[249]: (0, 0, 0, 0)
[250]: (0, 0, 0, 0)
[251]: (0, 0, 0, 0)
[252]: (0, 0, 0, 0)
[253]: (0, 3, 0, 0)
[254]: (0, 0, 0, 0)
[255]: (0, 3, 0, 0)
[256]: (0, 0, 0, 0)
[257]: (0, 0, 0, 0)
[258]: (0, 0, 0, 0)
[259]: (0, 0, 0, 0)
[260]: (0, 0, 0, 0)
[261]: (0, 0, 0, 0)
[262]: (0, 0, 0, 0)
[263]: (0, 0, 0, 0)
[264]: (0, 0, 0, 0)
[265]: (0, 0, 0, 0)
[266]: (0, 0, 0, 0)
[267]: (0, 0, 0, 0)
[268]: (0, 0, 0, 0)
[269]: (0, 0, 0, 0)
[270]: (0, 1, 0, 0)
[271]: (0, 0, 0, 0)
[272]: (0, 0, 0, 0)
[273]: (0, 0, 0, 0)
[274]: (0, 1, 0, 0)
[275]: (0, 0, 0, 0)
[276]: (0, 0, 0, 0)
[277]: (0, 0, 0, 0)
[278]: (0, 0, 0, 0)
[279]: (0, 0, 0, 0)
[280]: (0, 0, 0, 0)
[281]: (0, 0, 0, 0)
[282]: (0, 0, 0, 0)
[283]: (0, 0, 0, 0)
[284]: (0, 0, 0, 0)
[285]: (0, 0, 0, 0)
[286]: (0, 0, 0, 0)
[287]: (0, 0, 0, 0)
[288]: (0, 3, 0, 0)
[289]: (0, 3, 0, 0)
[290]: (0, 3, 0, 0)
[291]: (0, 3, 0, 0)
[292]: (0, 3, 0, 0)
[293]: (0, 3, 0, 0)
[294]: (0, 3, 0, 0)
[295]: (0, 3, 0, 0)
[296]: (0, 3, 0, 0)
[297]: (0, 3, 0, 0)
[298]: (0, 3, 0, 0)
[299]: (0, 3, 0, 0)
[300]: (0, 3, 0, 0)
[301]: (0, 3, 0, 0)
[302]: (0, 3, 0, 0)
[303]: (0, 3, 0, 0)
[304]: (0, 3, 0, 0)
[305]: (0, 3, 0, 0)
[306]: (0, 3, 0, 0)
[307]: (0, 3, 0, 0)
[308]: (0, 3, 0, 0)
[309]: (0, 3, 0, 0)
[310]: (0, 3, 0, 0)
[311]: (0, 3, 0, 0)
[312]: (0, 3, 0, 0)
[313]: (0, 3, 0, 0)
[314]: (0, 3, 0, 0)
[315]: (0, 3, 0, 0)
[316]: (0, 3, 0, 0)
[317]: (0, 3, 0, 0)
[318]: (0, 3, 0, 0)
[319]: (0, 3, 0, 0)
[320]: (0, 3, 0, 0)
[321]: (0, 3, 0, 0)
[322]: (0, 3, 0, 0)
[323]: (0, 3, 0, 0)
[324]: (0, 3, 0, 0)
[325]: (0, 3, 0, 0)
[326]: (0, 3, 0, 0)
[327]: (0, 3, 0, 0)
[328]: (0, 3, 0, 0)
[329]: (0, 3, 0, 0)
[330]: (0, 3, 0, 0)
[331]: (0, 3, 0, 0)
[332]: (0, 3, 0, 0)
[333]: (0, 3, 0, 0)
[334]: (0, 3, 0, 0)
[335]: (0, 3, 0, 0)
[336]: (0, 0, 0, 0)
[337]: (0, 0, 0, 0)
[338]: (0, 0, 0, 0)
[339]: (0, 0, 0, 0)
[340]: (0, 0, 0, 0)
[341]: (0, 0, 0, 0)
[342]: (0, 0, 0, 0)
[343]: (0, 0, 0, 0)
[344]: (0, 0, 0, 0)
[345]: (0, 0, 0, 0)
[346]: (0, 0, 0, 0)
[347]: (0, 0, 0, 0)
[348]: (0, 0, 0, 0)
[349]: (0, 3, 0, 0)
[350]: (0, 0, 0, 0)
[351]: (0, 0, 0, 0)
[352]: (0, 3, 0, 0)
[353]: (0, 3, 0, 0)
[354]: (0, 0, 0, 0)
[355]: (0, 3, 0, 0)
[356]: (0, 0, 0, 0)
[357]: (0, 0, 0, 0)
[358]: (0, 3, 0, 0)
[359]: (0, 3, 0, 0)
[360]: (0, 0, 0, 0)
[361]: (0, 0, 0, 0)
[362]: (0, 0, 0, 0)
[363]: (0, 0, 0, 0)
[364]: (0, 0, 0, 0)
[365]: (0, 0, 0, 0)
[366]: (0, 0, 0, 0)
[367]: (0, 3, 0, 0)
[368]: (0, 0, 0, 0)
[369]: (0, 0, 0, 0)
[370]: (0, 3, 0, 0)
[371]: (0, 3, 0, 0)
[372]: (0, 0, 0, 0)
[373]: (0, 0, 0, 0)
[374]: (0, 0, 0, 0)
[375]: (0, 0, 0, 0)
[376]: (0, 0, 0, 0)
[377]: (0, 0, 0, 0)
[378]: (0, 0, 0, 0)
[379]: (0, 3, 0, 0)
[380]: (0, 0, 0, 0)
[381]: (0, 0, 0, 0)
[382]: (0, 3, 0, 0)
[383]: (0, 3, 0, 0)
[384]: (0, 3, 0, 0)
[385]: (0, 3, 0, 0)
[386]: (0, 3, 0, 0)
[387]: (0, 3, 0, 0)
[388]: (0, 3, 0, 0)
[389]: (0, 3, 0, 0)
[390]: (0, 0, 0, 0)
[391]: (0, 3, 0, 0)
[392]: (0, 3, 0, 0)
[393]: (0, 3, 0, 0)
[394]: (0, 0, 0, 0)
[395]: (0, 0, 0, 0)
[396]: (0, 0, 0, 0)
[397]: (0, 3, 0, 0)
[398]: (0, 3, 0, 0)
[399]: (0, 0, 0, 0)
[400]: (0, 3, 0, 0)
[401]: (0, 3, 0, 0)
[402]: (0, 0, 0, 0)
[403]: (0, 0, 0, 0)
[404]: (0, 3, 0, 0)
[405]: (0, 0, 0, 0)
[406]: (0, 3, 0, 0)
[407]: (0, 0, 0, 0)
[408]: (0, 1, 0, 0)
[409]: (0, 1, 0, 0)
[410]: (0, 1, 0, 0)
[411]: (0, 1, 0, 0)
[412]: (0, 1, 0, 0)
[413]: (0, 1, 0, 0)
[414]: (0, 0, 0, 0)
[415]: (0, 1, 0, 0)
[416]: (0, 1, 0, 0)
[417]: (0, 1, 0, 0)
[418]: (0, 0, 0, 0)
[419]: (0, 1, 0, 0)
[420]: (0, 1, 0, 0)
[421]: (0, 1, 0, 0)
[422]: (0, 0, 0, 0)
[423]: (0, 0, 0, 0)
[424]: (0, 1, 0, 0)
[425]: (0, 0, 0, 0)
[426]: (0, 0, 0, 0)
[427]: (0, 1, 0, 0)
[428]: (0, 0, 0, 0)
[429]: (0, 1, 0, 0)
[430]: (0, 0, 0, 0)
[431]: (0, 0, 0, 0)
[432]: (0, 0, 0, 0)
[433]: (0, 0, 0, 0)
[434]: (0, 0, 0, 0)
[435]: (0, 0, 0, 0)
[436]: (0, 0, 0, 0)
[437]: (0, 0, 0, 0)
[438]: (0, 0, 0, 0)
[439]: (0, 0, 0, 0)
[440]: (0, 0, 0, 0)
[441]: (0, 0, 0, 0)
[442]: (0, 0, 0, 0)
[443]: (0, 0, 0, 0)
[444]: (0, 0, 0, 0)
[445]: (0, 1, 0, 0)
[446]: (0, 0, 0, 0)
[447]: (0, 1, 0, 0)
[448]: (0, 0, 0, 0)
[449]: (0, 0, 0, 0)
[450]: (0, 0, 0, 0)
[451]: (0, 0, 0, 0)
[452]: (0, 0, 0, 0)
[453]: (0, 0, 0, 0)
[454]: (0, 0, 0, 0)
[455]: (0, 0, 0, 0)
[456]: (0, 0, 0, 0)
[457]: (0, 0, 0, 0)
[458]: (0, 0, 0, 0)
[459]: (0, 0, 0, 0)
[460]: (0, 0, 0, 0)
[461]: (0, 0, 0, 0)
[462]: (0, 3, 0, 0)
[463]: (0, 0, 0, 0)
[464]: (0, 0, 0, 0)
[465]: (0, 0, 0, 0)
[466]: (0, 3, 0, 0)
[467]: (0, 0, 0, 0)
[468]: (0, 0, 0, 0)
[469]: (0, 0, 0, 0)
[470]: (0, 0, 0, 0)
[471]: (0, 0, 0, 0)
[472]: (0, 0, 0, 0)
[473]: (0, 0, 0, 0)
[474]: (0, 0, 0, 0)
[475]: (0, 0, 0, 0)
[476]: (0, 0, 0, 0)
[477]: (0, 0, 0, 0)
[478]: (0, 0, 0, 0)
[479]: (0, 0, 0, 0)
[480]: (0, 1, 0, 0)
[481]: (0, 1, 0, 0)
[482]: (0, 1, 0, 0)
[483]: (0, 1, 0, 0)
[484]: (0, 1, 0, 0)
[485]: (0, 1, 0, 0)
[486]: (0, 1, 0, 0)
[487]: (0, 1, 0, 0)
[488]: (0, 1, 0, 0)
[489]: (0, 1, 0, 0)
[490]: (0, 1, 0, 0)
[491]: (0, 1, 0, 0)
[492]: (0, 1, 0, 0)
[493]: (0, 1, 0, 0)
[494]: (0, 1, 0, 0)
[495]: (0, 1, 0, 0)
[496]: (0, 1, 0, 0)
[497]: (0, 1, 0, 0)
[498]: (0, 1, 0, 0)
[499]: (0, 1, 0, 0)
[500]: (0, 1, 0, 0)
[501]: (0, 1, 0, 0)
[502]: (0, 1, 0, 0)
[503]: (0, 1, 0, 0)
[504]: (0, 1, 0, 0)
[505]: (0, 1, 0, 0)
[506]: (0, 1, 0, 0)
[507]: (0, 1, 0, 0)
[508]: (0, 1, 0, 0)
[509]: (0, 1, 0, 0)
[510]: (0, 1, 0, 0)
[511]: (0, 1, 0, 0)
[512]: (0, 1, 0, 0)
[513]: (0, 1, 0, 0)
[514]: (0, 1, 0, 0)
[515]: (0, 1, 0, 0)
[516]: (0, 1, 0, 0)
[517]: (0, 1, 0, 0)
[518]: (0, 1, 0, 0)
[519]: (0, 1, 0, 0)
[520]: (0, 1, 0, 0)
[521]: (0, 1, 0, 0)
[522]: (0, 1, 0, 0)
[523]: (0, 1, 0, 0)
[524]: (0, 1, 0, 0)
[525]: (0, 1, 0, 0)
[526]: (0, 1, 0, 0)
[527]: (0, 1, 0, 0)
[528]: (0, 0, 0, 0)
[529]: (0, 0, 0, 0)
[530]: (0, 0, 0, 0)
[531]: (0, 0, 0, 0)
[532]: (0, 0, 0, 0)
[533]: (0, 0, 0, 0)
[534]: (0, 0, 0, 0)
[535]: (0, 0, 0, 0)
[536]: (0, 0, 0, 0)
[537]: (0, 0, 0, 0)
[538]: (0, 0, 0, 0)
[539]: (0, 0, 0, 0)
[540]: (0, 0, 0, 0)
[541]: (0, 1, 0, 0)
[542]: (0, 0, 0, 0)
[543]: (0, 0, 0, 0)
[544]: (0, 1, 0, 0)
[545]: (0, 1, 0, 0)
[546]: (0, 0, 0, 0)
[547]: (0, 1, 0, 0)
[548]: (0, 0, 0, 0)
[549]: (0, 0, 0, 0)
[550]: (0, 1, 0, 0)
[551]: (0, 1, 0, 0)
[552]: (0, 0, 0, 0)
[553]: (0, 0, 0, 0)
[554]: (0, 0, 0, 0)
[555]: (0, 0, 0, 0)
[556]: (0, 0, 0, 0)
[557]: (0, 0, 0, 0)
[558]: (0, 0, 0, 0)
[559]: (0, 1, 0, 0)
[560]: (0, 0, 0, 0)
[561]: (0, 0, 0, 0)
[562]: (0, 1, 0, 0)
[563]: (0, 1, 0, 0)
[564]: (0, 0, 0, 0)
[565]: (0, 0, 0, 0)
[566]: (0, 0, 0, 0)
[567]: (0, 0, 0, 0)
[568]: (0, 0, 0, 0)
[569]: (0, 0, 0, 0)
[570]: (0, 0, 0, 0)
[571]: (0, 1, 0, 0)
[572]: (0, 0, 0, 0)
[573]: (0, 0, 0, 0)
[574]: (0, 1, 0, 0)
[575]: (0, 1, 0, 0)
[576]: (4, 0, 0, 0)
[577]: (4, 0, 0, 0)
[578]: (4, 0, 0, 0)
[579]: (4, 0, 0, 0)
[580]: (4, 0, 0, 0)
[581]: (4, 0, 0, 0)
[582]: (4, 0, 0, 0)
[583]: (4, 0, 0, 0)
[584]: (4, 0, 0, 0)
[585]: (4, 0, 0, 0)
[586]: (4, 0, 0, 0)
[587]: (4, 0, 0, 0)
[588]: (4, 0, 0, 0)
[589]: (4, 0, 0, 0)
[590]: (4, 0, 0, 0)
[591]: (4, 0, 0, 0)
[592]: (4, 0, 0, 0)
[593]: (4, 0, 0, 0)
[594]: (4, 0, 0, 0)
[595]: (4, 0, 0, 0)
[596]: (4, 0, 0, 0)
[597]: (4, 0, 0, 0)
[598]: (4, 0, 0, 0)
[599]: (4, 0, 0, 0)
[600]: (4, 0, 0, 0)
[601]: (4, 0, 0, 0)
[602]: (4, 0, 0, 0)
[603]: (4, 0, 0, 0)
[604]: (4, 0, 0, 0)
[605]: (4, 0, 0, 0)
[606]: (4, 0, 0, 0)
[607]: (4, 0, 0, 0)
[608]: (4, 0, 0, 0)
[609]: (4, 0, 0, 0)
[610]: (4, 0, 0, 0)
[611]: (4, 0, 0, 0)
[612]: (4, 0, 0, 0)
[613]: (4, 0, 0, 0)
[614]: (4, 0, 0, 0)
[615]: (4, 0, 0, 0)
[616]: (4, 0, 0, 0)
[617]: (4, 0, 0, 0)
[618]: (4, 0, 0, 0)
[619]: (4, 0, 0, 0)
[620]: (4, 0, 0, 0)
[621]: (4, 0, 0, 0)
[622]: (4, 0, 0, 0)
[623]: (4, 0, 0, 0)
[624]: (4, 0, 0, 0)
[625]: (4, 0, 0, 0)
[626]: (4, 0, 0, 0)
[627]: (4, 0, 0, 0)
[628]: (4, 0, 0, 0)
[629]: (4, 0, 0, 0)
[630]: (4, 0, 0, 0)
[631]: (4, 0, 0, 0)
[632]: (4, 0, 0, 0)
[633]: (4, 0, 0, 0)
[634]: (4, 0, 0, 0)
[635]: (4, 0, 0, 0)
[636]: (4, 0, 0, 0)
[637]: (4, 0, 0, 0)
[638]: (4, 0, 0, 0)
[639]: (4, 0, 0, 0)
[640]: (4, 0, 0, 0)
[641]: (4, 0, 0, 0)
[642]: (4, 0, 0, 0)
[643]: (4, 0, 0, 0)
[644]: (4, 0, 0, 0)
[645]: (4, 0, 0, 0)
[646]: (4, 0, 0, 0)
[647]: (4, 0, 0, 0)
[648]: (4, 0, 0, 0)
[649]: (4, 0, 0, 0)
[650]: (4, 0, 0, 0)
[651]: (4, 0, 0, 0)
[652]: (4, 0, 0, 0)
[653]: (4, 0, 0, 0)
[654]: (4, 0, 0, 0)
[655]: (4, 0, 0, 0)
[656]: (4, 0, 0, 0)
[657]: (4, 0, 0, 0)
[658]: (4, 0, 0, 0)
[659]: (4, 0, 0, 0)
[660]: (4, 0, 0, 0)
[661]: (4, 0, 0, 0)
[662]: (4, 0, 0, 0)
[663]: (4, 0, 0, 0)
[664]: (4, 0, 0, 0)
[665]: (4, 0, 0, 0)
[666]: (4, 0, 0, 0)
[667]: (4, 0, 0, 0)
[668]: (4, 0, 0, 0)
[669]: (4, 0, 0, 0)
[670]: (4, 0, 0, 0)
[671]: (4, 0, 0, 0)
[672]: (2, 0, 0, 0)
[673]: (2, 0, 0, 0)
[674]: (2, 0, 0, 0)
[675]: (2, 0, 0, 0)
[676]: (2, 0, 0, 0)
[677]: (2, 0, 0, 0)
[678]: (2, 0, 0, 0)
[679]: (2, 0, 0, 0)
[680]: (2, 0, 0, 0)
[681]: (2, 0, 0, 0)
[682]: (2, 0, 0, 0)
[683]: (2, 0, 0, 0)
[684]: (2, 0, 0, 0)
[685]: (2, 0, 0, 0)
[686]: (2, 0, 0, 0)
[687]: (2, 0, 0, 0)
[688]: (2, 0, 0, 0)
[689]: (2, 0, 0, 0)
[690]: (2, 0, 0, 0)
[691]: (2, 0, 0, 0)
[692]: (2, 0, 0, 0)
[693]: (2, 0, 0, 0)
[694]: (2, 0, 0, 0)
[695]: (2, 0, 0, 0)
[696]: (2, 0, 0, 0)
[697]: (2, 0, 0, 0)
[698]: (2, 0, 0, 0)
[699]: (2, 0, 0, 0)
[700]: (2, 0, 0, 0)
[701]: (2, 0, 0, 0)
[702]: (2, 0, 0, 0)
[703]: (2, 0, 0, 0)
[704]: (2, 0, 0, 0)
[705]: (2, 0, 0, 0)
[706]: (2, 0, 0, 0)
[707]: (2, 0, 0, 0)
[708]: (2, 0, 0, 0)
[709]: (2, 0, 0, 0)
[710]: (2, 0, 0, 0)
[711]: (2, 0, 0, 0)
[712]: (2, 0, 0, 0)
[713]: (2, 0, 0, 0)
[714]: (2, 0, 0, 0)
[715]: (2, 0, 0, 0)
[716]: (2, 0, 0, 0)
[717]: (2, 0, 0, 0)
[718]: (2, 0, 0, 0)
[719]: (2, 0, 0, 0)
[720]: (2, 0, 0, 0)
[721]: (2, 0, 0, 0)
[722]: (2, 0, 0, 0)
[723]: (2, 0, 0, 0)
[724]: (2, 0, 0, 0)
[725]: (2, 0, 0, 0)
[726]: (2, 0, 0, 0)
[727]: (2, 0, 0, 0)
[728]: (2, 0, 0, 0)
[729]: (2, 0, 0, 0)
[730]: (2, 0, 0, 0)
[731]: (2, 0, 0, 0)
[732]: (2, 0, 0, 0)
[733]: (2, 0, 0, 0)
[734]: (2, 0, 0, 0)
[735]: (2, 0, 0, 0)
[736]: (2, 0, 0, 0)
[737]: (2, 0, 0, 0)
[738]: (2, 0, 0, 0)
[739]: (2, 0, 0, 0)
[740]: (2, 0, 0, 0)
[741]: (2, 0, 0, 0)
[742]: (2, 0, 0, 0)
[743]: (2, 0, 0, 0)
[744]: (2, 0, 0, 0)
[745]: (2, 0, 0, 0)
[746]: (2, 0, 0, 0)
[747]: (2, 0, 0, 0)
[748]: (2, 0, 0, 0)
[749]: (2, 0, 0, 0)
[750]: (2, 0, 0, 0)
[751]: (2, 0, 0, 0)
[752]: (2, 0, 0, 0)
[753]: (2, 0, 0, 0)
[754]: (2, 0, 0, 0)
[755]: (2, 0, 0, 0)
[756]: (2, 0, 0, 0)
[757]: (2, 0, 0, 0)
[758]: (2, 0, 0, 0)
[759]: (2, 0, 0, 0)
[760]: (2, 0, 0, 0)
[761]: (2, 0, 0, 0)
[762]: (2, 0, 0, 0)
[763]: (2, 0, 0, 0)
[764]: (2, 0, 0, 0)
[765]: (2, 0, 0, 0)
[766]: (2, 0, 0, 0)
[767]: (2, 0, 0, 0)
[768]: (0, 0, 0, 0)
[769]: (0, 0, 0, 0)
[770]: (0, 0, 0, 0)
[771]: (0, 0, 0, 0)
[772]: (0, 0, 0, 0)
[773]: (0, 0, 0, 0)
[774]: (0, 0, 0, 0)
[775]: (0, 0, 0, 0)
[776]: (0, 0, 0, 0)
[777]: (0, 0, 0, 0)
[778]: (0, 0, 0, 0)
[779]: (0, 0, 0, 0)
[780]: (0, 0, 0, 0)
[781]: (0, 0, 0, 0)
[782]: (0, 0, 0, 0)
[783]: (0, 0, 0, 0)
[784]: (0, 0, 0, 0)
[785]: (0, 0, 0, 0)
[786]: (0, 0, 0, 0)
[787]: (0, 0, 0, 0)
[788]: (0, 0, 0, 0)
[789]: (0, 0, 0, 0)
[790]: (0, 0, 0, 0)
[791]: (0, 0, 0, 0)
[792]: (0, 0, 0, 0)
[793]: (0, 0, 0, 0)
[794]: (0, 0, 0, 0)
[795]: (0, 0, 0, 0)
[796]: (0, 0, 0, 0)
[797]: (0, 0, 0, 0)
[798]: (0, 0, 0, 0)
[799]: (0, 0, 0, 0)
[800]: (0, 0, 0, 0)
[801]: (0, 0, 0, 0)
[802]: (0, 0, 0, 0)
[803]: (0, 0, 0, 0)
[804]: (0, 0, 0, 0)
[805]: (0, 0, 0, 0)
[806]: (0, 0, 0, 0)
[807]: (0, 0, 0, 0)
[808]: (0, 0, 0, 0)
[809]: (0, 0, 0, 0)
[810]: (0, 0, 0, 0)
[811]: (0, 0, 0, 0)
[812]: (0, 0, 0, 0)
